order_id,customer_id,warehouse_id,workflow_type,preparation_time_min,packing_accuracy_pct,delivery_complaints,amount,status,signup_date,revenue,preparation_rate_per_hour,packing_accuracy_tier,delivery_complaint_quartile,packing_accuracy_score,preparation_speed_score,delivery_complaint_score,workflow_failure_score,warehouse_health_score
1,3418,W1,Picking,15.89,99.49,2,470.38,pending,2025-05-14,,3.78,Excellent,Q4,9.95,0.94,5.0,5,57.2
2,3932,W1,Picking,20.73,97.89,2,483.64,completed,2026-01-21,483.64,2.89,Excellent,Q4,9.79,0.72,5.0,0,63.6
3,2138,W4,Packaging,14.62,100.0,0,367.88,completed,2023-11-15,367.88,4.1,Excellent,Q2,10.0,1.03,10.0,0,77.6
4,2083,W2,Sorting,18.86,85.55,2,302.2,completed,2023-03-30,302.2,3.18,Fair,Q4,8.55,0.8,5.0,0,59.4
5,3364,W4,Picking,10.62,100.0,1,734.53,failed,2024-01-29,,5.65,Excellent,Q3,10.0,1.41,7.5,10,57.3
6,1413,W1,Picking,9.7,98.98,0,729.19,completed,2025-02-17,729.19,6.19,Excellent,Q2,9.9,1.55,10.0,0,78.5
7,3654,W3,Packing,15.02,96.59,1,797.11,completed,2023-05-27,797.11,3.99,Good,Q3,9.66,1.0,7.5,0,70.1
8,3621,W5,Packaging,24.81,89.65,3,240.41,completed,2026-02-14,240.41,2.42,Fair,Q4,8.96,0.6,2.5,0,54.1
9,1864,W2,Sorting,22.39,85.45,3,238.56,cancelled,2026-03-07,,2.68,Fair,Q4,8.54,0.67,2.5,10,37.8
10,2084,W3,Packaging,18.47,87.57,2,398.14,completed,2023-10-13,398.14,3.25,Fair,Q4,8.76,0.81,5.0,0,60.2
11,3021,W2,Sorting,15.84,90.6,0,130.51,pending,2023-07-06,,3.79,Fair,Q2,9.06,0.95,10.0,5,66.6
12,2576,W1,Picking,28.92,100.0,2,513.0,completed,2025-02-20,513.0,2.07,Excellent,Q4,10.0,0.52,5.0,0,63.8
13,3199,W5,Packing,31.37,87.16,3,584.23,completed,2024-06-30,584.23,1.91,Fair,Q4,8.72,0.48,2.5,0,53.0
14,3947,W3,Picking,16.98,96.58,0,617.95,completed,2024-06-23,617.95,3.53,Good,Q2,9.66,0.88,10.0,0,76.0
15,2531,W5,Packaging,26.5,92.97,2,181.09,completed,2023-11-27,181.09,2.26,Good,Q4,9.3,0.57,5.0,0,61.5
16,4406,W5,Picking,14.81,89.36,1,318.09,completed,2024-09-21,318.09,4.05,Fair,Q3,8.94,1.01,7.5,0,67.6
17,3181,W2,Picking,16.95,92.13,1,831.62,completed,2023-09-15,831.62,3.54,Good,Q3,9.21,0.88,7.5,0,68.2
18,1867,W2,Packing,11.46,92.59,3,521.51,failed,2026-01-09,,5.24,Good,Q4,9.26,1.31,2.5,10,41.9
19,1262,W2,Sorting,19.52,84.89,3,222.0,completed,2024-11-23,222.0,3.07,Poor,Q4,8.49,0.77,2.5,0,52.9
20,1276,W1,Packaging,13.77,100.0,1,64.16,completed,2023-03-06,64.16,4.36,Excellent,Q3,10.0,1.09,7.5,0,71.5
21,3360,W3,Picking,15.37,100.0,0,751.79,completed,2025-08-26,751.79,3.9,Excellent,Q2,10.0,0.98,10.0,0,77.5
22,2734,W2,Packing,18.64,90.76,2,374.93,pending,2025-04-21,,3.22,Fair,Q4,9.08,0.8,5.0,5,53.8
23,2018,W4,Picking,17.46,98.02,0,734.5,completed,2024-01-28,734.5,3.44,Excellent,Q2,9.8,0.86,10.0,0,76.4
24,1308,W2,Packing,23.21,91.91,3,745.2,completed,2025-06-26,745.2,2.59,Fair,Q4,9.19,0.65,2.5,0,55.0
25,1681,W5,Picking,29.31,91.27,4,723.66,completed,2025-04-12,723.66,2.05,Fair,Q4,9.13,0.51,0,0,48.2
26,2599,W4,Packing,14.79,94.37,1,331.44,completed,2024-06-27,331.44,4.06,Good,Q3,9.44,1.01,7.5,0,69.3
27,2215,W4,Sorting,34.02,90.22,0,144.26,completed,2024-03-21,144.26,1.76,Fair,Q2,9.02,0.44,10.0,0,72.7
28,4492,W1,Picking,13.07,100.0,1,434.88,pending,2025-12-23,,4.59,Excellent,Q3,10.0,1.15,7.5,5,64.1
29,1491,W2,Picking,21.61,94.04,0,211.4,failed,2026-03-12,,2.78,Good,Q2,9.4,0.69,10.0,10,59.6
30,2068,W2,Picking,14.58,88.17,2,451.52,completed,2024-02-23,451.52,4.12,Fair,Q4,8.82,1.03,5.0,0,60.9
31,1038,W3,Packaging,22.5,98.82,0,796.34,completed,2025-07-27,796.34,2.67,Excellent,Q2,9.88,0.67,10.0,0,76.3
32,1281,W5,Picking,22.85,92.02,2,794.27,completed,2024-05-15,794.27,2.63,Good,Q4,9.2,0.66,5.0,0,61.3
33,1032,W3,Sorting,23.32,86.51,0,561.07,completed,2026-02-09,561.07,2.57,Fair,Q2,8.65,0.64,10.0,0,71.9
34,3266,W3,Picking,6.87,97.72,1,104.38,failed,2023-11-15,,8.73,Excellent,Q3,9.77,2.18,7.5,10,58.4
35,4465,W3,Sorting,18.72,89.26,0,422.92,completed,2023-04-15,422.92,3.21,Fair,Q2,8.93,0.8,10.0,0,73.3
36,2072,W1,Packing,14.68,98.07,1,124.23,pending,2023-11-27,,4.09,Excellent,Q3,9.81,1.02,7.5,5,63.1
37,2512,W4,Packing,26.19,100.0,0,45.08,completed,2026-04-07,45.08,2.29,Excellent,Q2,10.0,0.57,10.0,0,76.4
38,1163,W5,Packaging,18.35,93.18,2,794.13,completed,2025-01-02,794.13,3.27,Good,Q4,9.32,0.82,5.0,0,62.2
39,1969,W2,Packaging,16.12,95.08,4,640.81,completed,2023-11-29,640.81,3.72,Good,Q4,9.51,0.93,0,0,50.6
40,4285,W2,Packing,11.04,89.8,0,792.23,completed,2024-05-23,792.23,5.43,Fair,Q2,8.98,1.36,10.0,0,74.8
41,2885,W3,Packaging,25.49,99.7,1,696.85,pending,2024-12-17,,2.35,Excellent,Q3,9.97,0.59,7.5,5,62.6
42,1284,W3,Packaging,14.85,92.44,0,247.63,completed,2024-07-25,247.63,4.04,Good,Q2,9.24,1.01,10.0,0,74.9
43,3378,W3,Packing,20.69,90.72,3,233.11,completed,2024-06-27,233.11,2.9,Fair,Q4,9.07,0.72,2.5,0,54.8
44,3094,W1,Picking,17.57,93.32,2,379.39,completed,2023-08-25,379.39,3.41,Good,Q4,9.33,0.85,5.0,0,62.3
45,4039,W4,Packaging,16.33,96.18,2,615.72,completed,2024-02-08,615.72,3.67,Good,Q4,9.62,0.92,5.0,0,63.5
46,4473,W3,Packing,15.4,91.86,0,277.12,completed,2023-09-13,277.12,3.9,Fair,Q2,9.19,0.97,10.0,0,74.6
47,2552,W3,Sorting,15.84,97.39,0,570.22,completed,2023-12-23,570.22,3.79,Excellent,Q2,9.74,0.95,10.0,0,76.5
48,4218,W5,Sorting,21.71,88.51,1,190.5,completed,2026-04-02,190.5,2.76,Fair,Q3,8.85,0.69,7.5,0,66.4
49,1695,W5,Sorting,19.56,87.79,0,679.68,completed,2023-06-23,679.68,3.07,Fair,Q2,8.78,0.77,10.0,0,72.7
50,4303,W3,Sorting,21.2,94.69,1,274.2,completed,2024-02-12,274.2,2.83,Good,Q3,9.47,0.71,7.5,0,68.7
51,3357,W2,Picking,25.64,92.25,1,754.92,completed,2024-02-03,754.92,2.34,Good,Q3,9.22,0.59,7.5,0,67.5
52,4154,W4,Packing,11.52,99.16,2,760.37,completed,2023-08-07,760.37,5.21,Excellent,Q4,9.92,1.3,5.0,0,65.5
53,2869,W4,Packaging,22.23,95.14,1,723.36,completed,2023-10-01,723.36,2.7,Good,Q3,9.51,0.67,7.5,0,68.7
54,3067,W4,Sorting,19.37,97.98,0,615.59,failed,2025-05-23,,3.1,Excellent,Q2,9.8,0.77,10.0,10,61.2
55,4136,W5,Packing,21.37,84.06,1,547.45,cancelled,2025-12-03,,2.81,Poor,Q3,8.41,0.7,7.5,10,49.9
56,2309,W4,Packaging,20.16,99.3,1,241.88,completed,2026-01-11,241.88,2.98,Excellent,Q3,9.93,0.74,7.5,0,70.4
57,2908,W1,Packaging,14.86,97.04,1,291.29,completed,2025-05-01,291.29,4.04,Excellent,Q3,9.7,1.01,7.5,0,70.2
58,1080,W1,Packaging,22.04,90.23,2,804.96,pending,2026-03-25,,2.72,Fair,Q4,9.02,0.68,5.0,5,53.3
59,4061,W4,Packing,12.01,100.0,2,364.88,completed,2026-01-23,364.88,5.0,Excellent,Q4,10.0,1.25,5.0,0,65.6
60,3739,W5,Packaging,11.14,88.84,3,339.7,completed,2025-04-08,339.7,5.39,Fair,Q4,8.88,1.35,2.5,0,55.7
61,1343,W2,Packing,26.73,89.5,3,568.6,cancelled,2025-05-27,,2.24,Fair,Q4,8.95,0.56,2.5,10,39.0
